aid,fname,lname,birth_date,birth_country,birth_city,overall_rating,gender,description
nm0001571,Kim,Novak,02/13/1933,USA,Illinois,0,1,"Kim Novak was born in Chicago, Illinois on February 13, 1933 with the birth name of Marilyn Pauline Novak. She was the daughter of a former teacher turned transit clerk and his wife, also a former teacher. Throughout elementary and high school, Kim did not get along well with teachers. She even admitted that she didn't like being told what to do and when to do it. Her first job, after high school, was modeling teen fashions for a local department store. Kim, later, won a scholarship in a modeling school and continued to model part-time. Kim later worked odd jobs as an elevator operator, sales clerk, and a dental assistant. The jobs never seemed to work out so she fell back on modeling, the one job she did well. After a stint on the road as a spokesperson for an appliance company, Kim decided to go to Los Angeles and try her luck at modeling there. Ultimately, her modeling landed her an uncredited role in the RKO production of"
nm0344963,Herbert,Grönemeyer,04/12/1956,Germany,Lower Saxony,0,0,"Herbert Grönemeyer was born on April 12, 1956 in Göttingen, Lower Saxony, Germany. He is an actor and composer, known for"
nm0000206,Keanu,Reeves,09/02/1964,Lebanon,Beirut,0,0,"Keanu Charles Reeves, whose first name means ""cool breeze over the mountains"" in Hawaiian, was born September 2, 1964 in Beirut, Lebanon. He is the son of"
nm0205626,Viola,Davis,08/11/1965,USA,South Carolina,0,1,"Viola Davis is a critically revered actress of film, television, and theater and has won rave reviews for her multitude of substantial and intriguingly diverse roles. Audiences across the United States and internationally have admired her for her work- including her celebrated, Oscar-nominated performances in The Help (2011), Doubt (2008), and her Oscar winning performance in Fences (2016). In 2015, Davis won the Emmy Award for Outstanding Performance by a Female Actor in a Drama Series for her work in ABC's How To Get Away With Murder, making her the first black woman in history to take home the award. In addition to acting, Viola currently produces alongside her husband and producing partner, Julius Tennon, through their JuVee Productions banner. Together they have produced award-garnering productions across theater, television, and film."
nm0002075,Peter,Finch,09/28/1916,UK,England,0,0,"Despite being one of the finest actors of his generation, Peter Finch will be remembered as much for his reputation as a hard-drinking, hell-raising womanizer as for his performances on the screen. He was born in London in 1916 and went to live in Sydney, Australia, at the age of ten. There, he worked in a series of dead-end jobs before taking up acting, his film debut being in the mediocre comedy"
nm0000879,Anne,Baxter,05/07/1923,USA,Indiana,0,1,"Anne Baxter was born in Michigan City, Indiana, on May 7, 1923. She was the daughter of a salesman and his wife, Catherine, who herself was the daughter of"
nm0002034,Jane,Darwell,10/15/1879,USA,Missouri,0,1,"Missouri-born Jane Darwell was born Patti Woodard, the daughter of William Robert Woodard, president of the Louisville Southern Railroad, and Ellen (Booth) Woodard, in Palmyra, Missouri, where she grew up on a ranch . She nursed ambitions to be an opera singer, but put it off because of her father's disapproval (she eventually changed her name to Darwell from the family name of Woodard so as not to ""sully"" the family name). Making her stage debut at age 33, she was almost 40 when she made her first film, a silent, in 1913."
nm0000024,John,Gielgud,04/14/1904,UK,England,0,0,"Born in London, England, John Gielgud trained at Lady Benson's Acting School and RADA, London. Best known for his Shakespearean roles in the theater, he first played Hamlet at the age of 26. He worked under the tutelage of Lilian Bayliss with friend and fellow performer"
nm0000578,Anthony,Perkins,04/04/1932,USA,New York,0,0,"Anthony Perkins was born April 4, 1932 in New York City to Janet Esselstyn (Rane) and"
nm0000255,Ben,Affleck,08/15/1972,USA,California,0,0,"American actor and filmmaker Benjamin Géza Affleck-Boldt was born on August 15, 1972 in Berkeley, California, and was raised in Cambridge, Massachusetts. His mother, Chris Anne (née Boldt), is a school teacher, and his father, Timothy Byers Affleck, is a social worker; the two are divorced. Ben has a younger brother, actor"
nm0001055,Claudette,Colbert,09/13/1903,France,Seine [now Val-de-Marne],0,1,"One of the brightest film stars to grace the screen was born Emilie Claudette Chauchoin on September 13, 1903, in Saint Mandé, France where her father owned a bakery at 57, rue de la République (now Avenue Général de Gaulle). The family moved to the United States when she was three. As Claudette grew up, she wanted nothing more than to play to Broadway audiences (in those days, any actress or actor worth their salt went for Broadway, not Hollywood). After her formal education ended, she enrolled in the Art Students League, where she paid for her dramatic training by working in a dress shop. She made her Broadway debut in 1923 in the stage production of ""The Wild Wescotts"". It was during this event that she adopted the name Claudette Colbert."
nm0927145,Ellen,Widmann,12/15/1894,Switzerland,Biel,0,1,"Ellen Widmann was born on December 15, 1894 in Biel, Switzerland. She was an actress, known for"
nm0000022,Clark,Gable,02/01/1901,USA,Ohio,0,0,"William Clark Gable was born on February 1, 1901 in Cadiz, Ohio, to Adeline (Hershelman) and William Henry Gable, an oil-well driller. He was of German, Irish, and Swiss-German descent. When he was seven months old, his mother died, and his father sent him to live with his maternal aunt and uncle in Pennsylvania, where he stayed until he was two. His father then returned to take him back to Cadiz. At 16, he quit high school, went to work in an Akron, Ohio, tire factory, and decided to become an actor after seeing the play ""The Bird of Paradise"". He toured in stock companies, worked oil fields and sold ties. On December 13, 1924, he married"
