mid,aid
tt0172495,nm0000128
tt0172495,nm0001618
tt0172495,nm0001567
tt0054215,nm0000578
tt0054215,nm0001463
tt0054215,nm0587256
tt6751668,nm0814280
tt6751668,nm1310525
tt6751668,nm1856097
tt0110357,nm0000111
tt0110357,nm0000460
tt0110357,nm0000469
tt0110413,nm0000606
tt0110413,nm0000198
tt0110413,nm0000204
tt0253474,nm0004778
tt0253474,nm0470981
tt0253474,nm0277975
tt0103064,nm0000216
tt0103064,nm0000157
tt0103064,nm0000411
tt0816692,nm0000190
tt0816692,nm0004266
tt0816692,nm1567113
tt0118799,nm0000905
tt0118799,nm0000971
tt0118799,nm0134493
tt0120689,nm0000158
tt0120689,nm0003817
tt0120689,nm0001556
tt0076759,nm0000434
tt0076759,nm0000148
tt0076759,nm0000402
tt0088763,nm0000150
tt0088763,nm0000502
tt0088763,nm0000670
tt0102926,nm0000149
tt0102926,nm0000164
tt0102926,nm0095029
tt0246578,nm0350453
tt0246578,nm0540441
tt0246578,nm0001521
tt0317248,nm1179105
tt0317248,nm1129884
tt0317248,nm0618690
tt4016934,nm1195119
tt4016934,nm1978402
tt4016934,nm2437361
tt0245429,nm0153738
tt0245429,nm0687189
tt0245429,nm0997115
tt0101414,nm0641314
tt0101414,nm0000913
tt0101414,nm0181425
tt1454029,nm1297015
tt1454029,nm0205626
tt1454029,nm0818055
tt150972x,nm1421814
tt150972x,nm7934649
tt150972x,nm8904193
tt0120815,nm0000158
tt0120815,nm0000354
tt0120815,nm0001744
tt0103639,nm0918334
tt0103639,nm0000245
tt0103639,nm0488306
tt0053198,nm0529543
tt0053198,nm0753716
tt0053198,nm0561158
tt0083987,nm0001426
tt0083987,nm0000024
tt0083987,nm0368990
tt0060827,nm0000761
tt0060827,nm0880521
tt0060827,nm0472234
tt0113247,nm0001993
tt0113247,nm0468003
tt0113247,nm0846548
tt0025316,nm0000022
tt0025316,nm0001055
tt0025316,nm0175369
tt0325980,nm0000136
tt0325980,nm0001691
tt0325980,nm0089217
tt0079470,nm0001037
tt0079470,nm0000092
tt0079470,nm0001589
tt0059742,nm0000267
tt0059742,nm0001626
tt0059742,nm0662223
tt0058946,nm0352835
tt0058946,nm0552483
tt0058946,nm0754272
tt0061512,nm0000056
tt0061512,nm0001421
tt0061512,nm0001510
tt0035446,nm0001479
tt0035446,nm0000912
tt0035446,nm0821041
tt0245712,nm0248408
tt0245712,nm0305558
tt0245712,nm0865949
tt0476735,nm1223267
tt0476735,nm1002038
tt0476735,nm0476334
tt1160419,nm3154303
tt1160419,nm0272581
tt1160419,nm3918035
