aid,fname,lname,birth_date,birth_country,birth_city,overall_rating,gender,description
nm0932229,Calder,Willingham,12/23/1922,USA,Georgia,0,,Biography needs more update
nm0002009,Arthur,C.,12/16/1917,UK,England,0,0,"Arthur C. Clarke was born in the seaside town of Minehead, Somerset, England in December 16, 1917. In 1936 he moved to London, where he joined the British Interplanetary Society. There he started to experiment with astronautic material in the BIS, write the BIS Bulletin and science fiction. During World War II, as a RAF officer, he was in charge of the first radar talk-down equipment, the Ground Controlled Approach, during its experimental trials. His only non-science-fiction novel, Glide Path, is based on this work. After the war, he returned to London and to the BIS, which he presided in 46-47 and 50-53. In 1945 he published the technical paper ""Extra-terrestrial Relays"" laying down the principles of the satellite com- communication with satellites in geostationary orbits - a speculation realized 25 years later. His invention has brought him numerous honors, such as the 1982 Marconi International Fellowship, a gold medal of the Franklin Institute, the Vikram Sarabhai Professorship of the Physical Research Laboratory, Ahmedabad, the Lindbergh Award and a Fellowship of King's College, London. Today, the geostationary orbit at 36,000 kilometers is named The Clarke Orbit by the International Astronomical Union. The first story Clarke sold professionally was ""Rescue Party"", written in March 1945 and appearing in Astounding Science in May 1946. He obtained first class honors in Physics and Mathematics at the King's College, London, in 1948."
nm0027572,Wes,Anderson,05/01/1969,USA,Texas,0,,"Wesley Wales Anderson was born in Houston, Texas. His mother, Texas Ann (Burroughs), is an archaeologist turned real estate agent, and his father, Melver Leonard Anderson, worked in advertising and PR. He has two brothers, Eric and Mel. Anderson's parents divorced when he was a young child, an event that he described as the most crucial event of his brothers and his growing up. During childhood, Anderson also began writing plays and making super-8 movies. He was educated at Westchester High School and then St. John's, a private prep school in Houston, Texas, which was later to prove an inspiration for the film"
nm0650581,Mary,Orr,12/21/1910,USA,New York,0,,"Mary Orr was born on December 21, 1910 in Brooklyn, New York, USA. She was a writer, known for"
nm0128906,James,M.,07/01/1892,USA,Maryland,0,,"James M. Cain was a 'Film Noir' author. His father was a professor, and president, of 'Washington College'. His mother was an opera singer in Maryland."
nm0050332,Alan,Ball,05/13/1957,USA,Georgia,0,,"Alan Ball is an American writer, director and producer who is known for writing the acclaimed film American Beauty and creating the HBO series True Blood starring Anna Paquin. He also wrote the films Towelhead and Uncle Frank. He also created Here and Now, Six Feet Under and Banshee. He won awards for American Beauty and True Blood."
nm0936374,Kirk,Wise,08/24/1963,USA,California,0,,"Kirk Wise was born on August 24, 1963 in San Francisco, California, USA. He is known for his work on"
nm0562372,Edwin,Justus,11/08/1896,USA,New York,0,,Biography needs more update
nm0902376,Thea,von,12/27/1888,Germany,Bavaria,0,,"Thea von Harbou was born on December 27, 1888 in Tauperlitz, Döhlau, Bavaria, Germany. She was a writer and director, known for"
nm0462895,David,Koepp,06/09/1963,USA,Wisconsin,0,,"David Koepp is an American film director and screenwriter. He is known for writing Jurassic Park directed by Steven Spielberg, The Lost World: Jurassic Park, Mission: Impossible, Indiana Jones and the Kingdom of the Crystal Skull, Spider-Man directed by Sam Raimi and Panic Room directed by David Fincher. He also directed You Should Have Left starring Kevin Bacon and Amanda Seyfried."
