mid,did
tt4154756,nm0751648
tt4154756,nm0498278
tt4154756,nm0751577
tt4154756,nm1321656
tt4154756,nm1321655
tt0050825,nm0860292
tt0050825,nm0932229
tt0050825,nm0000040
tt0032553,nm0000122
tt1853728,nm0000233
tt0043014,nm0102818
tt0043014,nm0551261
tt0043014,nm0000697
tt0081505,nm0424956
tt0081505,nm0000040
tt0081505,nm0000175
tt0405094,nm0003697
tt0910970,nm0230032
tt0910970,nm0714114
tt0910970,nm0004056
tt0095765,nm0660031
tt0095765,nm0868153
tt0078788,nm0380282
tt0078788,nm0000338
tt0078788,nm0587518
tt0021749,nm0000122
tt0021749,nm0139714
tt0021749,nm0188357
tt0209144,nm0634240
tt0209144,nm0634300
tt0047396,nm0371088
tt0047396,nm0941280
tt0047396,nm0000033
tt0078748,nm0639321
tt0078748,nm0795953
tt0078748,nm0000631
tt0095327,nm0636435
tt0095327,nm0847223
tt4016934,nm1941029
tt4016934,nm1258797
tt4016934,nm0661791
tt0246578,nm0446819
tt1454029,nm0853238
tt1454029,nm3543826
tt0083987,nm0109300
tt0083987,nm0000277
tt0082971,nm0442241
tt0082971,nm0000184
tt0082971,nm0000229
tt0082971,nm0001410
tt0103639,nm0166256
tt0103639,nm0254645
tt0103639,nm0615780
tt150972x,nm4377096
tt0025316,nm0001008
tt0025316,nm0728307
tt0025316,nm0011343
tt0060827,nm0000005
tt0113247,nm0440913
tt0079470,nm0001037
tt0079470,nm0000416
tt0079470,nm0000092
tt0079470,nm0001402
tt0101414,nm0152312
tt0101414,nm0936374
tt0101414,nm0873779
tt0101414,nm0941314
tt0101414,nm0761498
tt0053198,nm0000076
tt0053198,nm0610115
tt0325980,nm0744429
tt0325980,nm0254645
tt0325980,nm0064181
tt0325980,nm0893659
tt0059742,nm0403346
tt0059742,nm0189496
tt0059742,nm0512231
tt0059742,nm0936404
tt0245712,nm0327944
tt0245712,nm0037247
tt0035446,nm0501872
tt0035446,nm0523932
tt0035446,nm0562372
tt0058946,nm0690597
tt0058946,nm0758357
tt1160419,nm0744839
tt1160419,nm0898288
tt1160419,nm3123612
tt0032551,nm0000406
tt0032551,nm0425913
tt0032551,nm0825705
tt0476735,nm1463981
tt0032976,nm0365661
tt0032976,nm0238898
tt0032976,nm0000033
tt0032976,nm0792845
tt0381681,nm0000500
tt0381681,nm0000365
tt0381681,nm0000160
tt0071411,nm0037539
tt0071411,nm0000041
tt0071411,nm0619330
tt0036868,nm0943758
tt0036868,nm0437969
tt0036868,nm0792845
tt1028532,nm2124742
tt1028532,nm0002120
tt1028532,nm0793881
tt0382932,nm0135296
tt0382932,nm0684342
tt0382932,nm0083348
tt0107048,nm0000601
tt0107048,nm0748035
tt1895587,nm0565336
tt1895587,nm1802857
tt0074958,nm0001486
tt0074958,nm0154665
tt0070047,nm0087861
tt0070047,nm0001243
tt0317705,nm0083348
tt3315342,nm0003506
tt3315342,nm0338169
tt3315342,nm0291082
tt0032138,nm0503777
tt0032138,nm0002030
tt0032138,nm0753249
tt0032138,nm0281808
tt0032138,nm0486538
tt0032138,nm0941138
tt0092005,nm0000175
tt0092005,nm0317279
tt0092005,nm0262595
tt0092005,nm0001661
tt0758758,nm0000576
tt0758758,nm1040556
tt1950186,nm0003506
tt1950186,nm0125336
tt1950186,nm3890871
tt1950186,nm0445669
tt1979320,nm0000165
tt1979320,nm0604948
tt0097165,nm0001837
tt0097165,nm0776114
tt0091763,nm0000231
tt0046438,nm0633792
tt0046438,nm0654868
tt0088247,nm0005036
tt0088247,nm0936537
tt0088247,nm0000116
tt0075148,nm0000230
tt0075148,nm0000814
tt0019254,nm0003433
tt0019254,nm0217865
tt0395169,nm0669311
tt0395169,nm0313623
tt0061512,nm0742341
tt0061512,nm0668914
tt0061512,nm0237543
tt0061512,nm0682757
tt0198781,nm0191717
tt0198781,nm0682066
tt0198781,nm0881279
tt0198781,nm0798899
tt0198781,nm0230032
tt0978762,nm0254178
tt3011894,nm1238855
tt3011894,nm1167933
tt0073195,nm0001940
tt0073195,nm0000229
tt0073195,nm0331956
tt4729430,nm2082813
tt4729430,nm3582089
tt4729430,nm0655053
tt4729430,nm2700235
tt0072684,nm0856842
tt0072684,nm0000040
tt1392190,nm0004306
tt1392190,nm0490147
tt1392190,nm0565068
tt0050976,nm0000005
tt0118715,nm0001054
tt0118715,nm0001053
tt0046268,nm1064118
tt0046268,nm0167241
tt0046268,nm0350823
tt0892769,nm0213450
tt0892769,nm0204030
tt0892769,nm0761498
tt0353969,nm1323286
tt0353969,nm0094435
tt0353969,nm1646563
tt0031679,nm0175333
tt0031679,nm0001008
tt0031679,nm0118227
tt0031679,nm0287931
tt2278388,nm0959003
tt2278388,nm0027572
tt2278388,nm2450453
tt0107207,nm0174840
tt0107207,nm0006487
tt0107207,nm0313623
tt0048473,nm0051808
tt0048473,nm0006249
tt0015324,nm0593477
tt0015324,nm0115669
tt0015324,nm0000036
tt0015324,nm0369841
tt3170832,nm1480980
tt3170832,nm1049433
tt0112471,nm0471811
tt0112471,nm0000500
tt2119532,nm0460795
tt2119532,nm0770938
tt2119532,nm0000154
tt0077416,nm0913346
tt0077416,nm0001047
tt0077416,nm0307311
tt0052618,nm0943758
tt0052618,nm0908753
tt0052618,nm0000683
