mid,name,mpaa,description,release_date,overall_rating
tt1375666,Inception,PG-13,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",2010-07-16,0
tt0137523,Fight Club,R,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,1999-10-15,0
tt0110912,Pulp Fiction,R,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",1994-10-14,0
tt0060196,"The Good, the Bad and the Ugly",R,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,1967-12-29,0
tt0120737,The Lord of the Rings: The Fellowship of the Ring,PG-13,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,2001-12-19,0
tt0167260,The Lord of the Rings: The Return of the King,PG-13,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,2003-12-17,0
tt0108052,Schindler's List,R,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",1994-02-04,0
tt0050083,12 Angry Men,Approved,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,1957-04-10,0
tt0468569,The Dark Knight,PG-13,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",2008-07-18,0
tt0068646,The Godfather,R,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,1972-03-24,0
tt0081505,The Shining,R,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",1980-06-13,0
tt0071562,The Godfather: Part II,R,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",1974-12-18,0
tt0111161,The Shawshank Redemption,R,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",1994-10-14,0
tt0405094,The Lives of Others,R,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",2007-03-30,0
tt0246578,Donnie Darko,R,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.",2001-01-19,0
tt0043014,Sunset Blvd.,Passed,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,1950-08-04,0
tt0083987,Gandhi,PG,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,1983-02-25,0
